name	phylum	class	order	family	genus	species
Cluster_84	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_85	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Multi-affiliation
Cluster_86	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_87	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_88	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium
Cluster_89	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	Multi-affiliation	Multi-affiliation
Cluster_9	Ascomycota	Pezizomycotina	Dothideomycetes	Patellariales	Patellariaceae	Rhytidhysteron
Cluster_90	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_901	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	Multi-affiliation	Multi-affiliation
Cluster_911	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined
Cluster_94	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_95	Basidiomycota	Pucciniomycotina	undefined	Platygloeales	Platygloeaceae	Jola
Cluster_99	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
